gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q
Vps28,FBgn0021814,Vps28-PA-61,0,0,1,1,0.500755291774827,0.835884850809433
vps2,FBgn0039402,vps2-PA-697,0,2,0,0,0.500755291774827,0.835884850809433
Vps33B,FBgn0039335,Vps33B-PA-116,2,0,0,0,0.500755291774827,0.835884850809433
Vps35,FBgn0034708,Vps35-PA-138,1,1,0,0,0.500755291774827,0.835884850809433
Vps35,FBgn0034708,Vps35-PA-1917,136,108,138,129,0.484880015101092,0.835884850809433
Vps36,FBgn0086785,Vps36-PA-267,1,1,0,0,0.500755291774827,0.835884850809433
vret,FBgn0263143,vret-PA-1164,4,14,20,8,0.499342371000705,0.835884850809433
vret,FBgn0263143,vret-PA-626,1,1,0,0,0.500755291774827,0.835884850809433
Vrp1,FBgn0243516,Vrp1-PA-2023,0,2,0,0,0.500755291774827,0.835884850809433
vvl,FBgn0086680,vvl-PA-1,1,1,0,0,0.500755291774827,0.835884850809433
vvl,FBgn0086680,vvl-PA-403,0,0,0,2,0.500755291774827,0.835884850809433
wa-cup,FBgn0037502,wa-cup-PB-487,2,0,0,0,0.500755291774827,0.835884850809433
wah,FBgn0262527,wah-PD-2274,2,3,2,0,0.455592131943263,0.835884850809433
wapl,FBgn0004655,wapl-PA-2671,1,1,0,0,0.500755291774827,0.835884850809433
wb,FBgn0261563,wb-PB-8929,0,2,0,0,0.500755291774827,0.835884850809433
wcd,FBgn0262560,wcd-PA-655,0,0,1,1,0.500755291774827,0.835884850809433
wda,FBgn0039067,wda-PA-2048,0,2,2,3,0.455592131943263,0.835884850809433
wde,FBgn0027499,wde-PA-2798,0,0,1,1,0.500755291774827,0.835884850809433
WDR79,FBgn0031782,WDR79-PA-130,0,2,0,0,0.500755291774827,0.835884850809433
wee,FBgn0011737,wee-PA-255,0,0,1,1,0.500755291774827,0.835884850809433
wfs1,FBgn0039003,wfs1-PA-1152,0,2,0,0,0.500755291774827,0.835884850809433
wfs1,FBgn0039003,wfs1-PA-2276,0,2,0,0,0.500755291774827,0.835884850809433
wfs1,FBgn0039003,wfs1-PA-2293,13,8,10,9,0.431899430833009,0.835884850809433
wfs1,FBgn0039003,wfs1-PA-2461,0,0,0,2,0.500755291774827,0.835884850809433
wge,FBgn0051151,wge-PA-1270,0,0,1,1,0.500755291774827,0.835884850809433
wge,FBgn0051151,wge-PA-4,0,2,0,0,0.500755291774827,0.835884850809433
wg,FBgn0004009,wg-PA-711,0,2,0,0,0.500755291774827,0.835884850809433
whd,FBgn0261862,whd-PA-438,2,0,0,0,0.500755291774827,0.835884850809433
wls,FBgn0036141,wls-PA-554,0,0,2,0,0.500755291774827,0.835884850809433
wnd,FBgn0036896,wnd-PA-1369,1,1,0,0,0.500755291774827,0.835884850809433
wnd,FBgn0036896,wnd-PA-1896,2,0,0,0,0.500755291774827,0.835884850809433
Wnk,FBgn0037098,Wnk-PA-3525,2,0,0,0,0.500755291774827,0.835884850809433
Wnk,FBgn0037098,Wnk-PA-5234,1,1,0,0,0.500755291774827,0.835884850809433
Wnk,FBgn0037098,Wnk-PA-5611,61,73,67,78,0.487394720709204,0.835884850809433
Wnt5,FBgn0010194,Wnt5-PA-657,2,0,0,0,0.500755291774827,0.835884850809433
woc,FBgn0010328,woc-PA-3214,0,0,1,1,0.500755291774827,0.835884850809433
woc,FBgn0010328,woc-PA-4609,1,1,2,3,0.455592131943263,0.835884850809433
woc,FBgn0010328,woc-PA-812,0,0,1,1,0.500755291774827,0.835884850809433
WRNexo,FBgn0038608,WRNexo-PA-626,0,0,0,2,0.500755291774827,0.835884850809433
Wsck,FBgn0046685,Wsck-PA-1066,0,0,0,2,0.500755291774827,0.835884850809433
Wsck,FBgn0046685,Wsck-PA-1839,1,1,0,0,0.500755291774827,0.835884850809433
Wsck,FBgn0046685,Wsck-PA-66,0,0,2,0,0.500755291774827,0.835884850809433
wtrw,FBgn0260005,wtrw-PA-2055,2,0,0,0,0.500755291774827,0.835884850809433
wts,FBgn0011739,wts-PA-1104,1,1,0,0,0.500755291774827,0.835884850809433
wun,FBgn0016078,wun-PA-667,2,0,0,0,0.500755291774827,0.835884850809433
wupA,FBgn0004028,wupA-PA-55,1,1,0,0,0.500755291774827,0.835884850809433
wus,FBgn0030805,wus-PA-244,0,0,2,0,0.500755291774827,0.835884850809433
X11Lbeta,FBgn0052677,X11Lbeta-PA-3577,0,0,2,0,0.500755291774827,0.835884850809433
X11L,FBgn0026313,X11L-PA-3024,0,2,0,0,0.500755291774827,0.835884850809433
X11L,FBgn0026313,X11L-PA-3459,4,6,8,9,0.443617930238418,0.835884850809433
Xe7,FBgn0010772,Xe7-PA-2248,59,52,68,50,0.494510592973856,0.835884850809433
Xe7,FBgn0010772,Xe7-PA-388,0,2,0,0,0.500755291774827,0.835884850809433
xmas-1,FBgn0016080,xmas-1-PA-1014,0,2,0,0,0.500755291774827,0.835884850809433
xmas-2,FBgn0028974,xmas-2-PA-1092,0,0,0,2,0.500755291774827,0.835884850809433
xmas-2,FBgn0028974,xmas-2-PA-4072,0,2,0,0,0.500755291774827,0.835884850809433
XNP,FBgn0039338,XNP-PA-1720,0,2,0,0,0.500755291774827,0.835884850809433
XNP,FBgn0039338,XNP-PA-1968,0,2,0,0,0.500755291774827,0.835884850809433
XNP,FBgn0039338,XNP-PA-3595,1,1,0,0,0.500755291774827,0.835884850809433
Xpac,FBgn0004832,Xpac-PA-393,4,1,6,5,0.459965665178799,0.835884850809433
XRCC1,FBgn0026751,XRCC1-PA-190,2,3,1,1,0.455592131943263,0.835884850809433
Xrp1,FBgn0261113,Xrp1-PA-1471,1,1,2,3,0.455592131943263,0.835884850809433
yata,FBgn0260990,yata-PA-1425,6,17,16,19,0.446094765875548,0.835884850809433
yellow-b,FBgn0032601,yellow-b-PA-620,26,29,27,29,0.454021921426122,0.835884850809433
yellow-d2,FBgn0034856,yellow-d2-PA-1038,0,0,0,2,0.500755291774827,0.835884850809433
yellow-d,FBgn0041712,yellow-d-PA-1104,16,11,26,14,0.485232046787617,0.835884850809433
yemalpha,FBgn0005596,yemalpha-PA-2800,0,0,0,2,0.500755291774827,0.835884850809433
yip2,FBgn0040064,yip2-PA-1096,0,0,1,1,0.500755291774827,0.835884850809433
yip2,FBgn0040064,yip2-PA-486,333,384,500,413,0.478037528045781,0.835884850809433
YL-1,FBgn0032321,YL-1-PA-643,0,0,1,1,0.500755291774827,0.835884850809433
YT521-B,FBgn0027616,YT521-B-PA-1684,1,1,0,0,0.500755291774827,0.835884850809433
yu,FBgn0029764,yu-PA-1308,1,1,0,0,0.500755291774827,0.835884850809433
yuri,FBgn0045842,yuri-PB-2319,0,0,1,1,0.500755291774827,0.835884850809433
yuri,FBgn0045842,yuri-PB-736,20,25,20,25,0.46578639507628,0.835884850809433
Z600,FBgn0004052,Z600-PA-196,1,1,0,0,0.500755291774827,0.835884850809433
Zasp52,FBgn0083919,Zasp52-PC-1633,1,1,0,0,0.500755291774827,0.835884850809433
Zasp52,FBgn0083919,Zasp52-PC-656,0,0,1,1,0.500755291774827,0.835884850809433
Zasp52,FBgn0083919,Zasp52-PC-758,0,0,1,1,0.500755291774827,0.835884850809433
Zasp52,FBgn0083919,Zasp52-PI-2446,12,15,16,8,0.418543326196907,0.835884850809433
Zasp52,FBgn0083919,Zasp52-PI-3023,0,0,2,0,0.500755291774827,0.835884850809433
ZC3H3,FBgn0035900,ZC3H3-PA-178,0,0,2,0,0.500755291774827,0.835884850809433
ZC3H3,FBgn0035900,ZC3H3-PA-195,5,0,0,2,0.455592131943263,0.835884850809433
zf30C,FBgn0022720,zf30C-PA-2199,27,20,35,31,0.458154398877241,0.835884850809433
zf30C,FBgn0022720,zf30C-PA-2240,0,0,2,0,0.500755291774827,0.835884850809433
zfh1,FBgn0004606,zfh1-PB-357,1,1,0,0,0.500755291774827,0.835884850809433
Zip3,FBgn0038412,Zip3-PA-1206,3,7,6,11,0.451251994208042,0.835884850809433
Zip3,FBgn0038412,Zip3-PA-786,0,2,0,0,0.500755291774827,0.835884850809433
zip,FBgn0005634,zip-PA-2139,2,0,0,0,0.500755291774827,0.835884850809433
Zn72D,FBgn0263603,Zn72D-PA-811,0,0,1,1,0.500755291774827,0.835884850809433
Zn72D,FBgn0263603,Zn72D-PB-2128,1,1,0,0,0.500755291774827,0.835884850809433
Zn72D,FBgn0263603,Zn72D-PB-2487,1,1,0,0,0.500755291774827,0.835884850809433
ZnT63C,FBgn0035432,ZnT63C-PA-129,1,1,0,0,0.500755291774827,0.835884850809433
zormin,FBgn0052311,zormin-PA-588,1,1,0,0,0.500755291774827,0.835884850809433
zormin,FBgn0052311,zormin-PC-8628,0,2,0,0,0.500755291774827,0.835884850809433
zormin,FBgn0052311,zormin-PD-7941,1,1,0,0,0.500755291774827,0.835884850809433
z,FBgn0004050,z-PA-1629,2,0,0,0,0.500755291774827,0.835884850809433
z,FBgn0004050,z-PA-313,2,0,4,1,0.455592131943263,0.835884850809433
fl(2)d,FBgn0000662,fl(2)d-PA-1380,36,52,52,65,0.500957702277072,0.836199089372243
Arf79F,FBgn0010348,Arf79F-PA-310,8,10,6,10,0.501441921533223,0.836699920944485
CG10188,FBgn0032796,CG10188-PA-363,7,7,10,12,0.501441921533223,0.836699920944485
CG1418,FBgn0033468,CG1418-PA-75,8,6,13,9,0.501441921533223,0.836699920944485
CG14798,FBgn0029588,CG14798-PA-428,9,9,9,8,0.501441921533223,0.836699920944485
CG2641,FBgn0037518,CG2641-PA-1137,8,10,6,10,0.501441921533223,0.836699920944485
CG4936,FBgn0038768,CG4936-PA-808,5,9,11,11,0.501441921533223,0.836699920944485
CG9304,FBgn0034674,CG9304-PA-993,6,8,12,10,0.501441921533223,0.836699920944485
dco,FBgn0002413,dco-PA-1155,9,9,9,7,0.501441921533223,0.836699920944485
ida,FBgn0041147,ida-PA-2013,9,5,11,11,0.501441921533223,0.836699920944485
nct,FBgn0039234,nct-PA-1086,6,8,10,12,0.501441921533223,0.836699920944485
nito,FBgn0027548,nito-PA-907,6,8,12,10,0.501441921533223,0.836699920944485
tay,FBgn0260938,tay-PA-7302,7,7,12,10,0.501441921533223,0.836699920944485
U2af50,FBgn0005411,U2af50-PA-517,9,9,8,8,0.501441921533223,0.836699920944485
HP1c,FBgn0039019,HP1c-PA-39,47,55,59,76,0.501513774120307,0.83679617098452
Trs23,FBgn0260861,Trs23-PA-339,62,59,72,59,0.501629225534663,0.836965159951015
CG5220,FBgn0038471,CG5220-PA-255,69,61,83,86,0.50179223983771,0.837213495503445
CG6028,FBgn0038924,CG6028-PA-465,309,341,373,368,0.502113100514893,0.837725167811982
Spt6,FBgn0028982,Spt6-PA-4942,57,65,67,65,0.503418671473907,0.839879654789853
Arc42,FBgn0038742,Arc42-PA-718,3,4,7,6,0.504523589287065,0.840701826536749
blot,FBgn0027660,blot-PA-2097,4,3,5,8,0.504523589287065,0.840701826536749
cana,FBgn0040233,cana-PA-5330,5,6,3,6,0.504523589287065,0.840701826536749
CG10561,FBgn0002036,CG10561-PA-750,5,6,5,4,0.504523589287065,0.840701826536749
CG11253,FBgn0036338,CG11253-PA-873,2,5,6,7,0.504523589287065,0.840701826536749
CG11322,FBgn0031856,CG11322-PB-1218,5,6,5,4,0.504523589287065,0.840701826536749
CG12702,FBgn0031070,CG12702-PA-999,4,3,6,7,0.504523589287065,0.840701826536749
CG12866,FBgn0033955,CG12866-PB-904,5,6,3,6,0.504523589287065,0.840701826536749
CG12895,FBgn0033523,CG12895-PA-433,5,6,5,4,0.504523589287065,0.840701826536749
CG17267,FBgn0038821,CG17267-PA-491,18,33,42,29,0.503953604559856,0.840701826536749
CG17593,FBgn0031544,CG17593-PA-1235,4,3,7,6,0.504523589287065,0.840701826536749
CG2790,FBgn0027599,CG2790-PA-950,3,4,8,5,0.504523589287065,0.840701826536749
CG3362,FBgn0034988,CG3362-PA-753,2,5,6,7,0.504523589287065,0.840701826536749
CG34132,FBgn0083968,CG34132-PA-174,4,7,5,4,0.504523589287065,0.840701826536749
CG3634,FBgn0037026,CG3634-PA-1293,5,6,5,4,0.504523589287065,0.840701826536749
CG42271,FBgn0259166,CG42271-PC-3798,4,3,6,7,0.504523589287065,0.840701826536749
CG42684,FBgn0261570,CG42684-PA-5817,2,5,6,7,0.504523589287065,0.840701826536749
CG42727,FBgn0261680,CG42727-PA-183,3,4,5,8,0.504523589287065,0.840701826536749
CG4674,FBgn0037856,CG4674-PA-1257,4,3,7,6,0.504523589287065,0.840701826536749
CG6686,FBgn0032388,CG6686-PA-2068,6,5,3,6,0.504523589287065,0.840701826536749
CG6766,FBgn0032398,CG6766-PA-335,3,4,7,6,0.504523589287065,0.840701826536749
CG7082,FBgn0031401,CG7082-PA-226,5,6,5,4,0.504523589287065,0.840701826536749
CG7675,FBgn0038610,CG7675-PA-93,18,22,19,20,0.504096272666606,0.840701826536749
CG8478,FBgn0037746,CG8478-PB-679,4,7,4,5,0.504523589287065,0.840701826536749
CYLD,FBgn0032210,CYLD-PB-1273,5,2,7,6,0.504523589287065,0.840701826536749
Cypl,FBgn0035141,Cypl-PA-207,5,2,7,6,0.504523589287065,0.840701826536749
emp,FBgn0010435,emp-PA-987,4,7,5,4,0.504523589287065,0.840701826536749
GstS1,FBgn0010226,GstS1-PA-607,4,3,5,8,0.504523589287065,0.840701826536749
jbug,FBgn0028371,jbug-PF-1932,4,3,6,7,0.504523589287065,0.840701826536749
Mocs2,FBgn0039280,Mocs2-PA-145,5,6,4,5,0.504523589287065,0.840701826536749
mRpL55,FBgn0038678,mRpL55-PA-283,3,4,6,7,0.504523589287065,0.840701826536749
mrt,FBgn0039507,mrt-PA-2241,6,5,3,6,0.504523589287065,0.840701826536749
Nep1,FBgn0029843,Nep1-PA-2302,5,6,6,3,0.504523589287065,0.840701826536749
nocte,FBgn0261710,nocte-PA-6414,2,5,6,7,0.504523589287065,0.840701826536749
Nup98,FBgn0039120,Nup98-PA-3960,4,3,6,7,0.504523589287065,0.840701826536749
Psc,FBgn0005624,Psc-PA-2949,5,6,4,5,0.504523589287065,0.840701826536749
pyd,FBgn0262614,pyd-PA-5142,3,4,6,7,0.504523589287065,0.840701826536749
shu,FBgn0003401,shu-PA-891,7,4,5,4,0.504523589287065,0.840701826536749
sra,FBgn0086370,sra-PA-706,7,4,5,4,0.504523589287065,0.840701826536749
vps24,FBgn0037231,vps24-PA-378,4,3,5,8,0.504523589287065,0.840701826536749
wek,FBgn0001990,wek-PA-876,4,3,8,5,0.504523589287065,0.840701826536749
wun2,FBgn0041087,wun2-PA-795,3,4,6,7,0.504523589287065,0.840701826536749
yemalpha,FBgn0005596,yemalpha-PA-2524,19,21,19,20,0.504096272666606,0.840701826536749
Cap-G,FBgn0259876,Cap-G-PF-3924,21,27,19,29,0.504664854379509,0.840866045138807
CG42533,FBgn0260486,CG42533-PF-6705,18,30,18,30,0.504664854379509,0.840866045138807
CG9213,FBgn0030655,CG9213-PA-1872,26,22,29,19,0.504664854379509,0.840866045138807
IntS3,FBgn0262117,IntS3-PA-1527,17,34,46,27,0.504774618060715,0.841025204351118
CG17734,FBgn0037890,CG17734-PA-243,9,12,13,19,0.504841865751386,0.841089790892161
CG42507,FBgn0260233,CG42507-PA-925,9,12,10,21,0.504841865751386,0.841089790892161
frj,FBgn0031815,frj-PA-1155,34,34,37,34,0.504895558955525,0.841155516962267
Aats-asn,FBgn0086443,Aats-asn-PA-127,8,3,5,4,0.509866395341652,0.841324328220631
Aats-his,FBgn0027087,Aats-his-PB-118,1,2,5,2,0.51076640699012,0.841324328220631
Acn,FBgn0263198,Acn-PA-1883,0,7,7,6,0.509866395341652,0.841324328220631
aft,FBgn0026309,aft-PA-324,1,2,3,3,0.508304503114165,0.841324328220631
AGO1,FBgn0262739,AGO1-PA-2898,1,2,2,4,0.51076640699012,0.841324328220631
ALiX,FBgn0086346,ALiX-PA-1743,1,2,2,4,0.51076640699012,0.841324328220631
alpha-Spec,FBgn0250789,alpha-Spec-PA-4677,2,1,2,4,0.51076640699012,0.841324328220631
Anxb11,FBgn0030749,Anxb11-PB-529,2,4,1,2,0.51076640699012,0.841324328220631
Apc10,FBgn0034231,Apc10-PA-499,20,27,34,30,0.510462377120697,0.841324328220631
Apc2,FBgn0026598,Apc2-PA-2814,3,3,2,1,0.508304503114165,0.841324328220631
Apf,FBgn0051713,Apf-PA-378,15,19,24,24,0.509510800964005,0.841324328220631
Atg18,FBgn0035850,Atg18-PA-788,1,2,4,3,0.508304503114165,0.841324328220631
ATPsyn-Cf6,FBgn0016119,ATPsyn-Cf6-PA-10,5,1,3,0,0.51076640699012,0.841324328220631
Bap170,FBgn0042085,Bap170-PA-4056,5,2,6,7,0.509866395341652,0.841324328220631
betaCop,FBgn0008635,betaCop-PA-1800,9,9,11,5,0.51063317462496,0.841324328220631
bgcn,FBgn0004581,bgcn-PA-3222,0,3,2,4,0.51076640699012,0.841324328220631
bou,FBgn0261284,bou-PA-205,0,3,5,2,0.51076640699012,0.841324328220631
btz,FBgn0045862,btz-PA-1366,6,5,7,2,0.509866395341652,0.841324328220631
C3G,FBgn0259228,C3G-PC-4330,5,1,2,1,0.51076640699012,0.841324328220631
Ca-P60A,FBgn0263006,Ca-P60A-PA-1254,5,1,1,2,0.51076640699012,0.841324328220631
Cas,FBgn0022213,Cas-PA-1753,2,1,4,3,0.508304503114165,0.841324328220631
Cat,FBgn0000261,Cat-PA-517,1,2,3,3,0.508304503114165,0.841324328220631
Catsup,FBgn0002022,Catsup-PA-607,1,2,2,4,0.51076640699012,0.841324328220631
caup,FBgn0015919,caup-PA-1674,1,2,2,4,0.51076640699012,0.841324328220631
Cdk7,FBgn0263237,Cdk7-PA-873,4,2,2,1,0.51076640699012,0.841324328220631
CG10038,FBgn0038013,CG10038-PA-739,1,2,3,4,0.508304503114165,0.841324328220631
CG10222,FBgn0036356,CG10222-PA-655,2,1,4,2,0.51076640699012,0.841324328220631
CG10286,FBgn0037439,CG10286-PA-873,1,2,2,4,0.51076640699012,0.841324328220631
CG10424,FBgn0036848,CG10424-PA-504,18,12,19,24,0.505491553739899,0.841324328220631
CG10625,FBgn0035612,CG10625-PA-32,1,5,2,1,0.51076640699012,0.841324328220631
CG1074,FBgn0037250,CG1074-PA-846,0,3,4,3,0.51076640699012,0.841324328220631
CG10752,FBgn0036325,CG10752-PA-1118,6,0,2,1,0.51076640699012,0.841324328220631
CG11015,FBgn0031830,CG11015-PA-151,2,4,0,3,0.51076640699012,0.841324328220631
CG11092,FBgn0027537,CG11092-PA-910,1,2,4,2,0.51076640699012,0.841324328220631
CG11145,FBgn0033168,CG11145-PA-167,2,4,2,1,0.51076640699012,0.841324328220631
CG11242,FBgn0034451,CG11242-PA-245,1,2,1,5,0.51076640699012,0.841324328220631
CG11377,FBgn0031217,CG11377-PA-359,3,0,4,2,0.51076640699012,0.841324328220631
CG11436,FBgn0029713,CG11436-PA-796,4,2,2,1,0.51076640699012,0.841324328220631
CG11550,FBgn0039864,CG11550-PA-565,2,1,6,1,0.51076640699012,0.841324328220631
CG11594,FBgn0035484,CG11594-PA-1495,2,1,5,2,0.51076640699012,0.841324328220631
CG11739,FBgn0037239,CG11739-PA-291,14,15,16,11,0.507378096164758,0.841324328220631
CG11784,FBgn0033381,CG11784-PA-634,4,2,1,2,0.51076640699012,0.841324328220631
CG11984,FBgn0037655,CG11984-PD-153,5,2,4,9,0.509866395341652,0.841324328220631
CG12006,FBgn0035464,CG12006-PA-1336,21,26,36,28,0.510462377120697,0.841324328220631
CG12082,FBgn0035402,CG12082-PA-864,2,1,3,3,0.508304503114165,0.841324328220631
CG12121,FBgn0030109,CG12121-PA-450,1,2,4,2,0.51076640699012,0.841324328220631
CG12140,FBgn0033465,CG12140-PA-669,1,2,5,2,0.51076640699012,0.841324328220631
CG12320,FBgn0038590,CG12320-PA-989,1,2,3,3,0.508304503114165,0.841324328220631
CG12736,FBgn0033184,CG12736-PA-202,2,1,3,4,0.51076640699012,0.841324328220631
CG1309,FBgn0035519,CG1309-PA-1342,2,1,5,1,0.51076640699012,0.841324328220631
CG13126,FBgn0032168,CG13126-PA-1201,2,4,1,2,0.51076640699012,0.841324328220631
CG13192,FBgn0033653,CG13192-PA-243,1,2,3,3,0.508304503114165,0.841324328220631
CG13300,FBgn0035699,CG13300-PA-961,2,4,1,2,0.51076640699012,0.841324328220631
CG13585,FBgn0035020,CG13585-PA-213,2,1,4,2,0.51076640699012,0.841324328220631
CG13775,FBgn0031874,CG13775-PA-1794,0,3,0,6,0.51076640699012,0.841324328220631
CG13900,FBgn0035162,CG13900-PA-3454,4,2,1,2,0.51076640699012,0.841324328220631
CG13926,FBgn0035243,CG13926-PA-544,1,2,1,5,0.51076640699012,0.841324328220631
CG14182,FBgn0036922,CG14182-PA-333,1,2,3,4,0.508304503114165,0.841324328220631
CG1440,FBgn0030038,CG1440-PA-1224,1,2,4,3,0.508304503114165,0.841324328220631
CG1440,FBgn0030038,CG1440-PA-1429,1,2,3,3,0.508304503114165,0.841324328220631
CG14613,FBgn0031188,CG14613-PA-312,2,1,5,2,0.51076640699012,0.841324328220631
CG1463,FBgn0030406,CG1463-PA-107,11,7,10,6,0.51063317462496,0.841324328220631
CG14767,FBgn0040777,CG14767-PA-853,4,2,2,1,0.51076640699012,0.841324328220631
CG14782,FBgn0025381,CG14782-PA-220,3,0,4,2,0.51076640699012,0.841324328220631
CG15014,FBgn0035532,CG15014-PA-126,2,1,5,2,0.51076640699012,0.841324328220631
CG1529,FBgn0031144,CG1529-PA-118,1,2,3,3,0.508304503114165,0.841324328220631
CG15438,FBgn0025684,CG15438-PA-608,5,9,14,8,0.51063317462496,0.841324328220631
CG15544,FBgn0039804,CG15544-PA-1700,3,3,3,0,0.51076640699012,0.841324328220631
CG15547,FBgn0039809,CG15547-PA-970,1,2,4,2,0.51076640699012,0.841324328220631
CG15695,FBgn0038832,CG15695-PA-1878,1,2,3,3,0.508304503114165,0.841324328220631
CG15744,FBgn0030466,CG15744-PA-4041,5,2,6,7,0.509866395341652,0.841324328220631
CG15828,FBgn0032136,CG15828-PC-6861,2,1,5,2,0.51076640699012,0.841324328220631
CG1582,FBgn0030246,CG1582-PA-2181,1,2,3,4,0.508304503114165,0.841324328220631
CG15905,FBgn0034462,CG15905-PB-502,39,37,49,52,0.506855095371001,0.841324328220631
CG1622,FBgn0030468,CG1622-PA-178,4,2,2,1,0.51076640699012,0.841324328220631
CG1636,FBgn0030030,CG1636-PA-460,0,3,4,3,0.51076640699012,0.841324328220631
CG1640,FBgn0030478,CG1640-PA-193,1,5,1,2,0.51076640699012,0.841324328220631
CG16789,FBgn0037712,CG16789-PA-2128,2,4,1,2,0.51076640699012,0.841324328220631
CG16789,FBgn0037712,CG16789-PA-2190,2,1,2,4,0.51076640699012,0.841324328220631
CG16838,FBgn0036574,CG16838-PC-3405,2,4,0,3,0.51076640699012,0.841324328220631
CG16896,FBgn0035073,CG16896-PA-1191,0,3,4,2,0.51076640699012,0.841324328220631
CG17065,FBgn0031099,CG17065-PA-724,1,2,3,3,0.508304503114165,0.841324328220631
CG17233,FBgn0036958,CG17233-PA-3100,7,4,6,3,0.509866395341652,0.841324328220631
CG17249,FBgn0035249,CG17249-PA-1345,3,0,5,2,0.51076640699012,0.841324328220631
CG1750,FBgn0039836,CG1750-PA-465,1,2,3,3,0.508304503114165,0.841324328220631
CG17834,FBgn0028394,CG17834-PA-867,2,1,2,4,0.51076640699012,0.841324328220631
CG17896,FBgn0023537,CG17896-PA-585,2,1,4,2,0.51076640699012,0.841324328220631
CG18155,FBgn0029945,CG18155-PB-777,3,3,1,2,0.508304503114165,0.841324328220631
CG18190,FBgn0034403,CG18190-PB-511,3,3,1,2,0.508304503114165,0.841324328220631
CG18317,FBgn0031359,CG18317-PA-813,1,6,5,8,0.509866395341652,0.841324328220631
CG2025,FBgn0030344,CG2025-PA-2677,1,2,3,4,0.508304503114165,0.841324328220631
CG2224,FBgn0039773,CG2224-PA-210,1,2,4,2,0.51076640699012,0.841324328220631
CG2614,FBgn0032873,CG2614-PA-1917,107,135,150,112,0.507726457844978,0.841324328220631
CG2701,FBgn0024973,CG2701-PA-2030,0,3,3,3,0.51076640699012,0.841324328220631
CG2906,FBgn0033240,CG2906-PD-1069,2,1,2,4,0.51076640699012,0.841324328220631
CG30022,FBgn0050022,CG30022-PB-428,3,8,4,5,0.509866395341652,0.841324328220631
CG30377,FBgn0050377,CG30377-PA-2002,1,5,0,3,0.51076640699012,0.841324328220631
CG30414,FBgn0050414,CG30414-PA-719,0,3,3,3,0.51076640699012,0.841324328220631
CG3065,FBgn0034946,CG3065-PA-673,2,1,4,2,0.51076640699012,0.841324328220631
CG31004,FBgn0051004,CG31004-PA-564,1,2,2,4,0.51076640699012,0.841324328220631
CG31028,FBgn0051028,CG31028-PC-2972,2,1,4,2,0.51076640699012,0.841324328220631
CG31029,FBgn0051029,CG31029-PA-2493,2,4,2,1,0.51076640699012,0.841324328220631
CG31121,FBgn0051121,CG31121-PA-1467,2,4,1,2,0.51076640699012,0.841324328220631
CG31211,FBgn0051211,CG31211-PA-2450,2,1,3,4,0.51076640699012,0.841324328220631
CG31248,FBgn0051248,CG31248-PA-736,0,3,4,2,0.51076640699012,0.841324328220631
CG31368,FBgn0051368,CG31368-PC-4096,1,2,5,1,0.51076640699012,0.841324328220631
CG31559,FBgn0051559,CG31559-PA-1032,6,1,7,6,0.509866395341652,0.841324328220631
CG31773,FBgn0051773,CG31773-PA-1752,1,2,3,3,0.508304503114165,0.841324328220631
CG31797,FBgn0051797,CG31797-PA-1747,3,0,1,5,0.51076640699012,0.841324328220631
CG32512,FBgn0052512,CG32512-PA-1224,3,4,4,9,0.509866395341652,0.841324328220631
CG32685,FBgn0052685,CG32685-PC-5228,1,2,3,3,0.508304503114165,0.841324328220631
CG33144,FBgn0053144,CG33144-PA-2935,3,0,3,4,0.51076640699012,0.841324328220631
CG33156,FBgn0053156,CG33156-PA-139,10,4,14,8,0.51063317462496,0.841324328220631
CG3335,FBgn0036018,CG3335-PA-194,2,1,4,2,0.51076640699012,0.841324328220631
CG3348,FBgn0040609,CG3348-PA-29,1,2,4,3,0.508304503114165,0.841324328220631
CG33523,FBgn0053523,CG33523-PA-67,3,0,4,2,0.51076640699012,0.841324328220631
CG33552,FBgn0053552,CG33552-PA-380,0,3,1,5,0.51076640699012,0.841324328220631
CG34008,FBgn0054008,CG34008-PA-337,52,52,62,50,0.506565825454651,0.841324328220631
CG34347,FBgn0085376,CG34347-PB-3993,1,2,2,4,0.51076640699012,0.841324328220631
CG34348,FBgn0085377,CG34348-PA-349,2,1,3,3,0.508304503114165,0.841324328220631
CG34355,FBgn0085384,CG34355-PB-2130,1,2,4,2,0.51076640699012,0.841324328220631
CG34376,FBgn0085405,CG34376-PA-1338,2,1,5,2,0.51076640699012,0.841324328220631
CG3476,FBgn0031881,CG3476-PA-132,2,1,5,1,0.51076640699012,0.841324328220631
CG3527,FBgn0029714,CG3527-PA-496,1,2,2,4,0.51076640699012,0.841324328220631
CG3529,FBgn0035995,CG3529-PB-492,1,2,3,3,0.508304503114165,0.841324328220631
CG3529,FBgn0035995,CG3529-PB-964,1,2,6,0,0.51076640699012,0.841324328220631
CG3655,FBgn0040397,CG3655-PA-1293,1,2,2,4,0.51076640699012,0.841324328220631
CG3680,FBgn0037027,CG3680-PA-443,2,1,3,4,0.51076640699012,0.841324328220631
CG3735,FBgn0034933,CG3735-PA-1170,5,14,7,9,0.51063317462496,0.841324328220631
CG3829,FBgn0035091,CG3829-PA-1743,2,1,2,4,0.51076640699012,0.841324328220631
CG3838,FBgn0032130,CG3838-PA-538,2,1,2,4,0.51076640699012,0.841324328220631
